,best,10000,50000,100000,150000,200000,250000
ar,0.14,0.02,0.0,0.04,0.04,0.06,0.06
ca,0.18,0.04,0.04,0.02,0.08,0.24,0.08
en,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eu,0.02,0.06,0.02,0.02,0.0,0.04,0.02
fr,0.18,0.02,0.06,0.04,0.12,0.16,0.12
hi,0.1,0.04,0.04,0.06,0.08,0.08,0.08
mr,0.06,0.02,0.02,0.0,0.04,0.08,0.06
pt,0.08,0.06,0.08,0.12,0.08,0.14,0.1
es,0.14,0.06,0.06,0.08,0.14,0.18,0.08
ta,0.06,0.06,0.04,0.06,0.04,0.12,0.06
ur,0.2,0.02,0.08,0.04,0.06,0.08,0.06
vi,0.04,0.04,0.06,0.1,0.04,0.06,0.02
zh,0.1,0.04,0.06,0.08,0.06,0.08,0.1
