,Gender,Number,POS
best,0.23857142857142857,0.19745454545454547,0.1351282051282051
1000,0.07357142857142858,0.07127272727272727,0.05948717948717946
10000,0.07714285714285715,0.09345454545454544,0.07641025641025638
100000,0.1385714285714286,0.12836363636363635,0.0882051282051282
200000,0.16357142857142856,0.15672727272727272,0.09461538461538462
300000,0.18928571428571425,0.1556363636363636,0.12051282051282051
400000,0.19571428571428573,0.168,0.13282051282051283
500000,0.09714285714285717,0.09781818181818182,0.0846153846153846
600000,0.057857142857142864,0.051272727272727275,0.04358974358974359
